REGIÃO;ESTADO;DESTINATÁRIO;ORIGEM;MEDICAMENTO;APRESENTAÇÃO;QUANTIDADE;PEDIDO SISMAT;Pauta;STATUS;DATA DE ENTREGA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAZONAS;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;160;320408;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;PARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;2.010;320417;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;2.050;320420;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PERNAMBUCO;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;1.590;320419;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;38.970;320424;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;23.100;320423;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PERNAMBUCO;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;30.680;320419;1;Entrega realizada ;29/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RORAIMA;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;7.250;320421;1;Entrega realizada ;30/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;50.000;320538;2;Entrega realizada;30/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;13.600;320528;2;Entrega realizada;30/06/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;CEARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;43.475;320529;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;5.200;320530;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PARAÍBA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;350;320533;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PERNAMBUCO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;2.075;320534;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;675;320535;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;10.725;320536;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;TOCANTINS;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;2.175;320539;2;Entrega realizada;02/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;46.725;320532;2;Entrega realizada;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO DO SUL;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 10 mL;5.040;320531;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 10 mL;11.980;320527;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 10 mL;22.980;320532;2;Entrega realizada;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PARAÍBA;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;9.240;320533;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;SERGIPE;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;8.970;320537;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO DO SUL;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;10.960;320531;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;10.670;320535;2;Entrega realizada;01/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;160;320532;2;Entrega realizada;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;18.625;320841;3;Entrega realizada ;02/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;114.200;320841;3;Entrega realizada ;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 2 mL;89.250;320841;3;Entrega realizada ;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 2 mL;3.500;320844;3;Entrega realizada ;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PARAÍBA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 2 mL;3.750;320843;3;Entrega realizada;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;8.340;320841;3;Entrega realizada ;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;CEARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;1.900;320832;3;Entrega realizada ;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;2.650;320838;3;Entrega realizada;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;6.200;320841;3;Entrega realizada ;03/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;ESPÍRITO SANTO;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;125;320833;3;Entrega realizada;04/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RORAIMA;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;1.175;320840;3;Entrega realizada;05/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RORAIMA;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;1.880;320840;3;Entrega realizada;05/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RORAIMA;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;125;320840;3;Entrega realizada;05/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 10 mL;60.800;320831;3;Entrega realizada;06/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;2.600;320834;3;Entrega realizada;06/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAZONAS;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;750;320828;3;Entrega realizada;06/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;200;320834;3;Entrega realizada;06/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;825;320831;3;Entrega realizada;06/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PERNAMBUCO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML ;AMPOLA 2 mL;3.500;320837;3;Entrega realizada;07/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;425;320835;3;Entrega realizada;07/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PERNAMBUCO;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;2.000;320837;3;Entrega realizada;07/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;125;320835;3;Entrega realizada;07/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PERNAMBUCO;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;8.430;320837;3;Entrega realizada;07/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;17.150;320836;3;Entrega realizada;08/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;2.400;320836;3;Entrega realizada;08/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;6.350;320836;3;Entrega realizada;08/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;1.975;320830;3;Entrega realizada;13/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RONDÔNIA;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML ;AMPOLA 5 mL;750;320839;3;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;540;320881;4;Entrega realizada;06/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;PARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;760;320883;4;Entrega realizada;06/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;810;320884;4;Entrega realizada;06/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PERNAMBUCO;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;1.120;320885;4;Entrega realizada;06/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;SÃO PAULO;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;1.945;320880;4;Entrega realizada;07/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;3.645;320882;4;Entrega realizada;08/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO DO SUL;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;1.455;320992;5;Entrega realizada;09/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;SERGIPE;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;1.045;320999;5;Entrega realizada;09/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;ALAGOAS;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;12.190;320997;5;Entrega realizada;10/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;4.920;320993;5;Entrega realizada;10/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PARAÍBA;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;4.230;320996;5;Entrega realizada;10/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;6.160;320994;5;Entrega realizada;10/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;PANCURÔNIO, BROMETO, 2 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 2 mL;3.550;321211;6;Entrega realizada;10/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;PANCURÔNIO, BROMETO, 2 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 2 mL;2.050;321213;6;Entrega realizada;10/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;PANCURÔNIO, BROMETO, 2 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 2 mL;4.250;321214;6;Entrega realizada;10/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RORAIMA;SES;REQUISIÇÃO ADMINISTRATIVA;PANCURÔNIO, BROMETO, 2 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 2 mL;150;321212;6;Entrega realizada;11/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;836;321617;7;Entrega realizada;14/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;258;321618;7;Entrega realizada;14/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;1.497;321625;7;Entrega realizada;15/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PARAÍBA;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;2.341;321626;7;Entrega realizada;15/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PERNAMBUCO;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;2.694;321629;7;Entrega realizada;15/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;ALAGOAS;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;2.134;321630;7;Entrega realizada;15/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;2.075;321631;7;Entrega realizada;15/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RONDÔNIA;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;523;321619;7;Entrega realizada;16/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RORAIMA;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;150;321621;7;Entrega realizada;16/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;PARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;871;321622;7;Entrega realizada;16/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;1.781;321623;7;Entrega realizada;16/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;12.351;321624;7;Entrega realizada;16/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;599;321615;7;Entrega realizada;17/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;SUXAMETÔNIO, CLORETO 100 MG PÓ LIOF. INJETÁVEL;-;1.890;321620;7;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;5.080;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;1.270;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;1.075;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;6.750;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;11.650;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
